Date,Open,High,Low,Close,Volume,Adjusted Close
2012-08-24,55.1,55.1,55.1,55.1,0.0,49.91
2012-08-23,55.0,55.1,55.0,55.1,1400.0,49.91
2012-08-22,55.01,55.01,55.01,55.01,200.0,49.83
2012-08-21,54.63,54.63,54.63,54.63,0.0,49.48
2012-08-20,54.63,54.63,54.63,54.63,0.0,49.48
2012-08-17,54.63,54.63,54.63,54.63,200.0,49.48
2012-08-16,54.63,54.63,54.63,54.63,0.0,49.48
2012-08-15,53.76,54.63,53.75,54.63,3800.0,49.48
2012-08-14,53.46,53.46,53.46,53.46,0.0,48.42
2012-08-13,53.46,53.46,53.46,53.46,0.0,48.42
2012-08-10,53.46,53.46,53.46,53.46,0.0,48.42
2012-08-09,53.46,53.46,53.46,53.46,0.0,48.42
2012-08-08,53.46,53.46,53.46,53.46,100.0,48.42
2012-08-07,53.5,53.5,52.8,52.8,400.0,47.83
2012-08-03,53.32,53.32,53.32,53.32,0.0,48.3
2012-08-02,53.32,53.32,53.32,53.32,0.0,48.3
2012-08-01,53.33,53.33,53.32,53.32,1200.0,48.3
2012-07-31,54.22,54.22,54.22,54.22,0.0,49.11
2012-07-30,54.22,54.22,54.22,54.22,300.0,49.11
2012-07-27,53.8,53.8,53.8,53.8,200.0,48.73
2012-07-26,53.41,53.41,53.41,53.41,0.0,48.38
2012-07-25,53.41,53.41,53.41,53.41,300.0,48.38
2012-07-24,53.0,53.0,53.0,53.0,0.0,48.01
2012-07-23,53.0,53.0,53.0,53.0,200.0,48.01
2012-07-20,52.75,52.75,52.75,52.75,0.0,47.78
2012-07-19,52.75,52.75,52.75,52.75,0.0,47.78
2012-07-18,52.76,52.76,52.75,52.75,400.0,47.78
2012-07-17,53.72,53.72,53.72,53.72,0.0,48.66
2012-07-16,53.72,53.72,53.72,53.72,0.0,48.66
2012-07-13,53.71,53.72,53.71,53.72,1100.0,48.66
2012-07-12,53.0,53.0,53.0,53.0,0.0,48.01
2012-07-11,53.0,53.0,53.0,53.0,0.0,48.01
2012-07-10,53.1,53.72,53.0,53.0,1200.0,48.01
2012-07-09,53.1,53.1,53.09,53.1,2400.0,48.1
2012-07-06,52.62,52.62,52.62,52.62,0.0,47.66
2012-07-05,53.56,53.56,51.75,52.62,2200.0,47.66
2012-07-04,52.0,52.0,52.0,52.0,0.0,47.1
2012-07-03,53.84,53.84,51.5,52.0,7900.0,47.1
2012-06-29,54.26,55.01,54.25,55.01,500.0,49.83
2012-06-28,56.15,56.15,56.15,56.15,0.0,50.86
2012-06-27,56.15,56.15,56.15,56.15,0.0,50.86
2012-06-26,56.15,56.15,56.15,56.15,0.0,50.86
2012-06-25,56.15,56.15,56.15,56.15,0.0,50.86
2012-06-22,56.15,56.15,56.15,56.15,0.0,50.86
2012-06-21,56.15,56.15,56.15,56.15,0.0,50.86
2012-06-20,56.15,56.15,56.15,56.15,700.0,50.86
2012-06-19,57.96,57.96,57.61,57.61,1200.0,52.18
2012-06-18,57.8,57.95,57.8,57.95,300.0,52.49
2012-06-15,58.0,58.0,58.0,58.0,0.0,52.54
2012-06-14,58.0,58.0,58.0,58.0,0.0,52.54
2012-06-13,58.0,58.0,58.0,58.0,0.0,52.54
2012-06-12,58.0,58.0,58.0,58.0,0.0,51.9
2012-06-11,58.0,58.0,58.0,58.0,200.0,51.9
2012-06-08,58.5,58.5,58.5,58.5,0.0,52.35
2012-06-07,58.5,58.5,58.5,58.5,0.0,52.35
2012-06-06,58.25,58.5,58.25,58.5,500.0,52.35
2012-06-05,57.75,58.0,57.75,58.0,300.0,51.9
2012-06-04,58.5,58.5,58.5,58.5,0.0,52.35
2012-06-01,59.05,59.05,58.5,58.5,1600.0,52.35
2012-05-31,58.51,58.51,58.51,58.51,0.0,52.36
2012-05-30,59.99,60.0,58.51,58.51,800.0,52.36
2012-05-29,58.5,58.53,58.5,58.53,500.0,52.38
2012-05-28,58.0,58.0,58.0,58.0,0.0,51.9
2012-05-25,58.19,58.19,58.0,58.0,600.0,51.9
2012-05-24,58.0,58.01,57.99,58.0,5200.0,51.9
2012-05-23,57.43,57.43,57.43,57.43,100.0,51.39
2012-05-22,57.25,58.0,57.25,58.0,1500.0,51.9
2012-05-18,57.0,57.0,56.76,56.76,1200.0,50.79
2012-05-17,57.24,57.25,56.75,56.75,600.0,50.78
2012-05-16,55.98,56.32,55.98,56.29,3100.0,50.37
2012-05-15,55.23,55.26,55.23,55.25,1400.0,49.44
2012-05-14,54.32,54.47,54.32,54.47,2100.0,48.74
2012-05-11,54.02,54.25,53.75,54.25,3100.0,48.55
2012-05-10,54.0,54.02,53.99,54.0,11000.0,48.32
2012-05-09,54.26,54.3,53.76,53.76,1600.0,48.11
2012-05-08,54.0,54.5,54.0,54.2,4900.0,48.5
2012-05-07,53.76,53.99,53.76,53.99,200.0,48.31
2012-05-04,55.01,55.01,54.01,54.01,1400.0,48.33
2012-05-03,54.26,55.0,54.26,55.0,400.0,49.22
2012-05-02,55.68,55.68,55.68,55.68,200.0,49.83
2012-05-01,55.06,55.06,55.06,55.06,200.0,49.27
2012-04-30,55.29,55.29,55.29,55.29,400.0,49.48
2012-04-27,54.87,54.87,54.87,54.87,0.0,49.1
2012-04-26,53.61,54.87,53.61,54.87,1200.0,49.1
2012-04-25,54.71,54.86,54.71,54.86,400.0,49.09
2012-04-24,54.51,54.51,54.51,54.51,0.0,48.78
2012-04-23,54.56,54.56,54.51,54.51,800.0,48.78
2012-04-20,55.12,55.13,55.12,55.13,300.0,49.33
2012-04-19,54.8,54.8,54.8,54.8,0.0,49.04
2012-04-18,54.74,55.01,54.65,54.8,1400.0,49.04
2012-04-17,55.16,55.16,55.16,55.16,300.0,49.36
2012-04-16,55.07,55.07,55.07,55.07,1300.0,49.28
2012-04-13,54.8,54.8,54.8,54.8,0.0,49.04
2012-04-12,54.8,54.8,54.8,54.8,0.0,49.04
2012-04-11,54.8,54.8,54.8,54.8,0.0,49.04
2012-04-10,54.8,54.8,54.8,54.8,700.0,49.04
2012-04-09,54.93,54.93,54.93,54.93,0.0,49.15
2012-04-05,54.93,54.93,54.93,54.93,100.0,49.15
2012-04-04,55.15,55.15,55.15,55.15,200.0,49.35
2012-04-03,55.97,55.97,55.97,55.97,300.0,50.08
2012-04-02,55.97,55.97,55.97,55.97,200.0,50.08
2012-03-30,56.0,56.0,56.0,56.0,0.0,50.11
2012-03-29,56.0,56.0,56.0,56.0,0.0,50.11
2012-03-28,56.0,56.0,56.0,56.0,0.0,50.11
2012-03-27,54.9,56.0,54.9,56.0,1800.0,50.11
2012-03-26,54.71,54.8,54.71,54.8,300.0,49.04
2012-03-23,54.61,54.61,54.61,54.61,0.0,48.87
2012-03-22,54.65,54.65,54.61,54.61,1200.0,48.87
2012-03-21,55.25,55.25,55.25,55.25,0.0,49.44
2012-03-20,55.25,55.25,55.25,55.25,0.0,49.44
2012-03-19,55.25,55.25,55.25,55.25,2800.0,49.44
2012-03-16,55.73,55.75,55.73,55.75,1800.0,49.89
2012-03-15,55.73,55.73,55.73,55.73,100.0,49.87
2012-03-14,55.3,55.3,55.3,55.3,0.0,49.49
2012-03-13,55.3,55.3,55.3,55.3,200.0,49.49
2012-03-12,54.3,54.3,54.3,54.3,400.0,48.46
2012-03-09,55.06,55.06,55.06,55.06,0.0,49.13
